,course,ccm_web_site,social_media,community_event,family_member_or_friend,current_ccm_student,ccm_alumni,high_school_teacher,high_school_counselor,in-app_advertisement,employer,billboard,television,radio,other,program,interest,gender,race,age
274,CMP 128,Yes,Don't recall,Don't recall,Yes,Yes,No,No,No,No,No,No,No,No,No,Business Administration ,3.0,Man,Asian,25-34
275,CMP 128,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Business Administration,5.0,Woman,Multi-Racial,21-24
276,CMP 120,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Information Technology,,Man,African American,21-24
277,CMP 128,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Computer Science,,Man,White,19-20
278,CMP 120,Yes,No,No,Yes,Yes,Don't recall,Don't recall,Yes,No,No,No,No,No,No,Computer Science,,Man,Asian,19-20
279,CMP 128,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Mechanical/Electrical Engineer,3.0,Man,White,19-20
280,CMP 131,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Computer Science,,Woman,Asian,25-34
281,CMP 128,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Undecided,4.0,Man,Multi-Racial,19-20
282,CMP 130,No,No,No,Yes,Yes,No,Don't recall,Don't recall,No,No,No,No,No,No,Computer Science,,Man,Asian,19-20
283,CMP 128,Yes,No,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Information Technology,,Man,Asian,19-20
284,CMP 239,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Computer Science,,Man,Asian,21-24
285,CMP 131,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Computer Science,,Man,White,19-20
286,CMP 131,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Information Technology,,Man,White,19-20
287,CMP 120,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Computer Science,,Non-binary,Choose not to reply,19-20
288,CMP 128,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Business Administration,4.0,Man,Multi-Racial,19-20
289,CMP 128,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Computer Science,,Man,Asian,25-34
290,CMP 120,Don't recall,Don't recall,Don't recall,Yes,Yes,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Computer Science,,Man,Hispanic,21-24
291,CMP 131,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,ShareTime CSIP Program,,Woman,Asian,18 and younger
292,CMP 130,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Challenger Program,,Man,Choose not to reply,18 and younger
293,CMP 130,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Computer Science,,Man,White,21-24
294,CMP 131,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Information Technology,,Man,African American,19-20
295,CMP 131,Don't recall,Yes,Yes,Yes,Yes,Yes,Yes,Don't recall,Don't recall,No,Yes,Yes,Don't recall,Yes,Computer Science,,Prefer not to say,Choose not to reply,25-34
296,CMP 128,Yes,Don't recall,Don't recall,Yes,Yes,No,Yes,Yes,Yes,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Undecided,2.0,Woman,Asian,19-20
297,CMP 128,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Computer Science,,Man,White,18 and younger
